hs_code,product_description,rule_name,step_order,step_type,step_content,threshold_value,exceptions
0101,马、驴、骡,RCEP,1,WO,,,
0102,牛,RCEP,1,WO,,,
0103,猪,RCEP,1,WO,,,
0104,绵羊、山羊,RCEP,1,WO,,,
0105,家禽,RCEP,1,WO,,,
0106,其他活动物,RCEP,1,WO,,,
0201,牛肉,RCEP,1,CTC,CC,,0101-0106
0202,冻牛肉,RCEP,1,CTC,CC,,0101-0106
0203,猪肉,RCEP,1,CTC,CC,,0101-0106
0204,羊肉,RCEP,1,CTC,CC,,0101-0106
0205,马肉等,RCEP,1,CTC,CC,,0101-0106
0206,食用杂碎,RCEP,1,CTC,CC,,0101-0106
0207,家禽肉,RCEP,1,CTC,CC,,0101-0106
0208,其他肉,RCEP,1,CTC,CC,,0101-0106
0209,猪脂肪,RCEP,1,CTC,CC,,0101-0106
0210,肉及杂碎腌渍,RCEP,1,CTC,CC,,0101-0106
0301,活鱼,RCEP,1,WO,,,
0302,新鲜或冷藏的鱼但品目0304的鱼片及其他鱼肉除外,RCEP,1,CTC,CC,,
0303,冷冻的鱼但品目0304的鱼片及其他鱼肉除外,RCEP,1,CTC,CC,,
030431,罗非鱼（新鲜或冷藏鱼片）,RCEP,1,CTC,CC,,
030432,鲶鱼,RCEP,1,CTC,CC,,
030433,尼罗河鲈鱼,RCEP,1,CTC,CC,,
030439,其他,RCEP,1,CTC,CC,,
030441,大麻哈鱼大西洋鲑鱼和多瑙哲罗鱼,RCEP,1,CTC,CC,,
030441,大麻哈鱼大西洋鲑鱼和多瑙哲罗鱼,RCEP,1,RVC,,40,
030442,鳟鱼,RCEP,1,CTC,CC,,
030442,鳟鱼,RCEP,1,RVC,,40,
030443,比目鱼,RCEP,1,CTC,CC,,
030443,比目鱼,RCEP,1,RVC,,40,
030444,犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,RCEP,1,CTC,CC,,
030444,同上,RCEP,1,RVC,,40,
030445,剑鱼,RCEP,1,CTC,CC,,
030445,剑鱼,RCEP,1,RVC,,40,
030446,南极犬牙鱼,RCEP,1,CTC,CC,,
030446,南极犬牙鱼,RCEP,1,RVC,,40,
030449,其他,RCEP,1,CTC,CTH,,
030451,罗非鱼鲶鱼鲤鱼鳖鱼尼罗河鲈鱼以及黑鱼鱼片（新鲜或冷藏）,RCEP,1,CTC,CC,,
030452,鲑鱼科,RCEP,1,CTC,CC,,
030453,犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,RCEP,1,CTC,CC,,
030454,剑鱼,RCEP,1,CTC,CC,,
030455,南极犬牙鱼,RCEP,1,CTC,CC,,
030459,其他,RCEP,1,CTC,CC,,
030461,罗非鱼（冷冻）,RCEP,1,CTC,CC,,
030462,鲶鱼,RCEP,1,CTC,CC,,
030463,尼罗河鲈鱼,RCEP,1,CTC,CC,,
030469,其他,RCEP,1,CTC,CC,,
030471,鳕鱼,RCEP,1,CTC,CC,,
030471,鳕鱼,RCEP,1,RVC,,40,
030472,黑线鳕鱼,RCEP,1,CTC,CC,,
030472,黑线鳕鱼,RCEP,1,RVC,,40,
030473,绿青鳕鱼,RCEP,1,CTC,CC,,
030473,绿青鳕鱼,RCEP,1,RVC,,40,
030474,狗鳕鱼,RCEP,1,CTC,CTH,,
030475,狭鳕鱼,RCEP,1,CTC,CC,,
030475,狭鳕鱼,RCEP,1,RVC,,40,
030479,其他,RCEP,1,CTC,CC,,
030479,其他,RCEP,1,RVC,,40,
030481,大麻哈鱼大西洋鲑鱼和多瑙哲罗鱼,RCEP,1,CTC,CC,,
030481,同上,RCEP,1,RVC,,40,
030482,鳟鱼,RCEP,1,CTC,CC,,
030482,鳟鱼,RCEP,1,RVC,,40,
030483,比目鱼,RCEP,1,CTC,CC,,
030483,比目鱼,RCEP,1,RVC,,40,
030484,剑鱼,RCEP,1,CTC,CC,,
030484,剑鱼,RCEP,1,RVC,,40,
030485,南极犬牙鱼,RCEP,1,CTC,CC,,
030485,南极犬牙鱼,RCEP,1,RVC,,40,
030486,鲱鱼,RCEP,1,CTC,CC,,
030486,鲱鱼,RCEP,1,RVC,,40,
030487,金枪鱼（金枪鱼属）、鲣鱼或狐鲣,RCEP,1,CTC,CC,,
030487,同上,RCEP,1,RVC,,40,
030489,其他,RCEP,1,CTC,CC,,
030489,其他,RCEP,1,RVC,,40,
030491,剑鱼,RCEP,1,CTC,CC,,
030492,南极犬牙鱼,RCEP,1,CTC,CC,,
030493,罗非鱼鲶鱼鲤鱼鳖鱼尼罗河鲈鱼以及黑鱼鱼片（冷冻）,RCEP,1,CTC,CC,,
030494,狭鳕鱼,RCEP,1,CTC,CC,,
030495,犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼狭鳕鱼除外,RCEP,1,CTC,CC,,
030499,其他,RCEP,1,CTC,CC,,
030510,适合供人食用的鱼的细粉粗粉及团粒,RCEP,1,CTC,CTH,,
030520,干熏盐腌或盐渍的鱼肝鱼卵及鱼精,RCEP,1,CTC,CC,,
030520,同上,RCEP,1,RVC,,40,
030531,罗非鱼鲶鱼鲤鱼鳖鱼尼罗河鲈鱼以及黑鱼（干盐腌或盐渍的鱼片）,RCEP,1,CTC,CC,,
030532,犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,RCEP,1,CTC,CC,,
030532,同上,RCEP,1,RVC,,40,
030539,其他,RCEP,1,CTC,CC,,
030541,大麻哈鱼大西洋鲑鱼和多瑙哲罗鱼（熏鱼）,RCEP,1,CTC,CC,,
030541,同上,RCEP,1,RVC,,40,
030542,鲱鱼（熏鱼）,RCEP,1,CTC,CC,,
030542,同上,RCEP,1,RVC,,40,
030543,鳟鱼（熏鱼）,RCEP,1,CTC,CC,,
030543,同上,RCEP,1,RVC,,40,
030544,罗非鱼鲶鱼鲤鱼鳖鱼尼罗河鲈鱼以及黑鱼鱼片（熏鱼）,RCEP,1,CTC,CC,,
030549,其他（熏鱼）,RCEP,1,CTC,CC,,
030551,鳕鱼（干鱼）,RCEP,1,CTC,CC,,
030551,同上,RCEP,1,RVC,,40,
030559,其他（干鱼）,RCEP,1,CTC,CC,,
030561,鲱鱼（盐腌）,RCEP,1,CTC,CTH,,
030562,鳕鱼（盐腌）,RCEP,1,CTC,CC,,
030562,同上,RCEP,1,RVC,,40,
030563,鳀鱼（盐腌）,RCEP,1,CTC,CTH,,
030564,罗非鱼鲶鱼鲤鱼鳖鱼尼罗河鲈鱼以及黑鱼（盐腌）,RCEP,1,CTC,CC,,
030569,其他（盐腌）,RCEP,1,CTC,CC,,
030571,鲨鱼翅,RCEP,1,CTC,CC,,
030571,鲨鱼翅,RCEP,1,RVC,,40,
030572,鱼头鱼尾鱼鳔,RCEP,1,CTC,CC,,
030572,同上,RCEP,1,RVC,,40,
030579,其他杂碎,RCEP,1,CTC,CC,,
030579,其他杂碎,RCEP,1,RVC,,40,
0306,带壳或去壳的甲壳动物,RCEP,1,CTC,CC,,
0307,软体动物,RCEP,1,CTC,CC,,
0308,水生无脊椎动物,RCEP,1,CTC,CC,,
0401,未浓缩及未加糖或其他甜物质的乳及奶油,RCEP,1,CTC,CC,,
0401,同上,RCEP,1,RVC,,40,
0402,浓缩加糖或其他甜物质的乳及奶油,RCEP,1,CTC,CC,,
0402,同上,RCEP,1,RVC,,40,
0403,酪乳结块的乳及奶油酸奶酸乳酒及其他发酵或酸化的乳及奶油,RCEP,1,CTC,CC,,
0403,同上,RCEP,1,RVC,,40,
0404,乳清不论是否浓缩加糖或其他甜物质；其他税号未列名的含天然乳的产品,RCEP,1,CTC,CC,,
0404,同上,RCEP,1,RVC,,40,
0405,黄油及其他从乳中提取的脂和油；乳酱,RCEP,1,CTC,CC,,
0405,同上,RCEP,1,RVC,,40,
040610,鲜乳酪（未熟化或未固化的）包括乳清乳酪；凝乳,RCEP,1,CTC,CC,,
040610,同上,RCEP,1,RVC,,40,
040620,各种磨碎或粉化的乳酪,RCEP,1,CTC,CTSH,,
040620,同上,RCEP,1,RVC,,40,
040630,经加工的乳酪但磨碎或粉化的除外,RCEP,1,CTC,CC,,
040630,同上,RCEP,1,RVC,,40,
040640,蓝纹乳酪和娄地青霉生产的带有纹理的其他乳酪,RCEP,1,CTC,CC,,
